Placename@tr	Placename@ott	Placename_2@tr	Placename_3@tr	Placename_4@tr	Placename_5@tr	Placename_notes@tr	Wikidata_url	Admin_unit_1	Admin_unit_1_year	Admin_unit_1_note	Belongs_to_1-4	Belongs_to_1-3	Belongs_to_1-2	Belongs_to_1-1	Admin_unit_2	Admin_unit_2_year	Admin_unit_2_note	Belongs_to_2-4	Belongs_to_2-3	Belongs_to_2-2	Belongs_to_2-1	Admin_unit_3	Admin_unit_3_year	Admin_unit_3_note	Belongs_to_3-4	Belongs_to_3-3	Belongs_to_3-2	Belongs_to_3-1	Admin_unit_4	Admin_unit_4_year	Admin_unit_4_note	Belongs_to_4-3	Belongs_to_4-2	Belongs_to_4-1	Admin_unit_5	Admin_unit_5_year	Admin_unit_5_note	Belongs_to_5-3	Belongs_to_5-2	Belongs_to_5-1	Admin_unit_6	Admin_unit_6_year	Admin_unit_6_note	Belongs_to_6-2	Belongs_to_6-1	Admin_unit_7	Admin_unit_7_year	Admin_unit_7_note	Belongs_to_7-2	Belongs_to_7-1	Admin_unit_8	Admin_unit_8_year	Admin_unit_8_note	Belongs_to_8-2	Belongs_to_8-1	Admin_unit_9	Admin_unit_9_year	Belongs_to_9-3	Belongs_to_9-2	Belongs_to_9-1	Admin_unit_10	Admin_unit_10_year	Belongs_to_10-2	Belongs_to_10-1	Admin_unit_11	Admin_unit_11_year	Belongs_to_11-2	Belongs_to_11-1	Admin_unit_12	Belongs_to_12	Admin_unit_13	Belongs_to_13	Admin_unit_14	Admin_unit_14_year	Belongs_to_14
SÖGÜT	سکود					Ertuğrul Gazi tarafından 1232 yılında fethedilmiştir.		Beylik merkezi						Osmanoğulları Beyliği	Kaza	~1530				Hudavendigâr	Anadolu eyâleti	Kaza	1585				Ertuğrul	Hudavendigâr vilâyeti	Kaza	1924				Bilecik																																									
SÖĞÜT maa BOYÂBÂD	سکود مع بوی آباد							Kaza	1841				Sinop	Kastamonu eyâleti																																																													
SÖĞÜTÂBÂD	سکود آباد							Nahiye	~1530			Merkez	Arapkir	Diyarbakır eyâleti																																																													
SÖĞÜTALANI	سکود آلاگی							Nahiye					Mustafa Kemalpaşa	Bursa																																																													
SÖĞÜTÇÜK	سکودجک							Nahiye	1865			Ahiçelebi	Gümülcine	Edirne vilâyeti	Nahiye	1919				Ahiçelebi	Yunanistan																																																						
SÖĞÜTLÜ	سکودلی	Valir	Çaytepe					Nahiye	1878			Arduşin	Genç	Bitlis vilâyeti	Nahiye	1926				Muş	Bitlis	Nahiye	1936				Genç	Bingöl																																															
SÖĞÜTLÜ	سکودلی							Nahiye					Merkez	Sakarya	Kaza	~1990					Sakarya																																																						
SÖĞÜTLÜ	سکودلی							Kaza	1848	Pazarcık`ın Söğütlü k.yü var.			Maraş	Adana eyâleti																																																													
SÖĞÜTÖZÜ	سکود اوزی							Nahiye	1865			Zile	Tokat	Sivas vilâyeti	Köy				Merkez	Zile	Tokat																																																						
SOHL	سوهل	Neosohl						Eyâlet						Macaristan																																																													
SÖKE	سوکه	Akçaşehir					https://www.wikidata.org/wiki/Q605105	Sancak merkezi	17. yy.				Sığla	Kaptanpaşa eyâleti	Kaza	18. yy.				Sığla	Aydın eyâleti	Kaza	1868				Aydın	Aydın vilâyeti	Kaza	1924				Aydın																																									
SÖKMENÂBÂD	سکمان آباد						https://www.wikidata.org/wiki/Q4703239	Sancak merkezi					Dumbeli	Van eyâleti																																																													
SOKOL	صوقل	Solkol						Sancak	17. yy.					Rumeli eyâleti	Kasaba						Bosna																																																						
SOLAKLI	صولاقلی							Kaza merkezi					Of	Trabzon																																																													
SOLHAN	صولخان							Köy				Valir	Muş	Bitlis	Kaza	1932					Bitlis	Kaza	1936					Bingöl																																															
SOLNOK	صولنوق	Szolnok						Sancak	1540					Budin eyâleti	Sancak	17. yy.					Eğri eyâleti	Sancak	1687					Macaristan																																															
SOMA	صومه							Kaza	1867				Karesi	Hudavendigâr vilâyeti	Kaza	1881				Saruhan	Aydın vilâyeti	Kaza	1924					Manisa																																															
SÖMBEKİ	سومبکی	Symi						Ada (kaza)	1888				Rodos	Cezayir-i Bahr-i Sefid vilâyeti	Kaza	1948				Rodos	Yunanistan																																																						
SONİSA ve NİKSAR	صونيسه وَ نيکسار							Sancak	~1530					Rum eyâleti																																																													
Sonisa=Sonusa	صونيسه	ULUKÖY						Nahiye	1865			Erbaa	Tokat	Sivas vilâyeti	Kasaba				Merkez	Taşova	Amasya																																																						
Şorba	شوربا	PAZAR	Alidedeşıhları					Nahiye	19. yy.			Yabanâbâd	Ankara	Anadolu eyâleti	Nahiye					Kızılcahamam	Ankara																																																						
Şoregil	شوره کل	Şöregel	AKYAKA	Kızılçakçak				Sancak	17. yy.					Van eyâleti	Sancak	1800					Kars eyâleti	Kaza	1846				Kars	Erzurum eyâleti	Nahiye	1926			Arpaçay	Kars																																									
SORGUN	صورقون	Köhne-i Kebir						Nahiye	1522			Bozok	Bozok	Zülkadriye eyâleti	Nahiye	~1530			Zile	Sivas-Tokat	Rum eyâleti	Kaza	1846				Bozok	Bozok eyâleti	Nahiye	1867		Merkez	Yozgat	Ankara vilâyeti	Kaza	1926				Yozgat																																			
