key-name	alt-name	Reference
İvirtos k., Kelemiye n., Midilli kz., Rodos l.	Ayos k.	
Dernek bükü mz., Dimetoka kz., Sağkol, Paşa l.	Ayvalı/Hayvalı mz.	
Tatar Mesud k., Vize n., Vize l.	Ayvatşah k.	
Balahor k., Dimetoka n., Dimetoka kz., Sağkol, Paşa l.	Azadlı k.	
Hasanhalife k., Kızılağaç kz., Sağkol, Paşa l.	Azizhalife k.	
Paflı k., Dimetoka kz., Sağkol, Paşa l.	Baba Bişmiş k.	
Kutlubey k., Hasha-i İstanbul kz., Vize l.	Baba Nakkaş k.	
Denizli k., Gümülcine kz., Solkol, Paşa l.	Baba Uruz k.	
Babaeskisi	Baba-yı Atik	
Nehor k., Aydos bölgesi, Angelikasrı kz., Karlıili l.	Babin k.	
Bük mz., Drama kz., Solkol, Paşa l.	Babük mz.	
Tatarbacdar k., Tataran-ı Bozapa	Bacdartatarı k.	
Tatarbacdar k., Yörükan-ı Vize	Bacdartatarı k.	
Petrovik k., Saray n., Saray kz., Bosna l.	Baçi k.	
Bahşayiş k., Dubniçe n., Ilıca kz., Köstendil l.	Baçinli k.	
Badracık kz.	Badra kz.	
Balyabadra kz.	Badra kz.	
Loznik-i Bala k., Seniçe n., Yeni-bazar kz., Bosna l.	Bagaçik k.	
Sredne Loznik k., Seniçe n., Yeni-bazar kz., Bosna l.	Bagaçik k.	
İştib k., Sofya kz., Paşa l.	Bagdofça k.	
Gorna Viniçe k., Posuşe n., Mostar kz., Hersek l.	Bagil k.	
Romana Luka k., Üsküb kz., Sağkol, Paşa l.	Bahadırköy k.	
Ali veled-i Bahşayiş k., Vize n., Vize l.	Bahşayişoğlu Ali k.	
Mesudlar k., Çernovi kz., Niğbolu l.	Bahşayişler k.	
Hasanbeyli k., Kızılağaç kz., Sağkol, Paşa l.	Bahşibey k.	
Sülemiş k., Ferecik kz., Sağkol, Paşa l.	Bahşiköyü k.	
Hoca Yunus k., Hatunili n., Vize l.	Bahşili k.	
Alaüddin md., Gelibolu nf., Gelibolu kz., Gelibolu l.	Bahşizade md.	
Kara Baki k., Yörükan-ı Selanik	Baki-yi Siyah k.	
Çömlekçi k., Tırhala n., Tırhala kz., Tırhala l.	Baklalı k.	
Yorganat k., Tırhala n., Tırhala kz., Tırhala l.	Baklalı k.	
Mikariçe k., Yanya kz., Yanya l.	Bala k.	
Brodilovo k., Çeç, Drama kz., Solkol, Paşa l.	Balaban k.	
Sığırcılı k., Dimetoka kz., Sağkol, Paşa l.	Balaban k.	
Tıkılova k., Drama kz., Solkol, Paşa l.	Balaban k.	
Uzun Seydi k., Hırsova kz., Silistre l.	Balabanca k.	
Mümince k., Silistre kz., Silistre l.	Balabancı k.	
Otgöklük k., Abrı n., Mıgalkara kz., Gelibolu l.	Balabancık k.	
Kutluca mz., Nevrekop kz., Solkol, Paşa l.	Balabandeğirmeni mz.	
Çiftlik-i Kurdşeyh k., Filibe kz., Sağkol, Paşa l.	Balabanlı k.	
Kara Güvendik k., Çorlu kz., Vize l.	Balabanlı k.	
Korucu Köşan k., Filibe kz., Sağkol, Paşa l.	Balabanlı k.	
Kozoğlu k., Rusikasrı kz., Silistre l.	Balabanlı k.	
Özbeyli k., Gümülcine kz., Solkol, Paşa l.	Balabanlı k.	
Sarı Mahmud k., Karinovası kz., Silistre l.	Balabanlı k.	
Sekban k., Ferecik kz., Sağkol, Paşa l.	Balabanlı k.	
Tomarkoşanlu k., Zağra-i Eskihisar kz., Sağkol, Paşa l.	Balabanlı k.	
Safahalife k., Varna kz., Silistre l.	Balabanpınarı k.	
Glogoveçi k., Çernovi kz., Niğbolu l.	Balcı Umur k.	
Barin k., İskenderiye n., İskenderiye kz., İskenderiye l.	Baliçe k.	
Piskopi k., Malakas n., Belgrad kz., Avlonya l.	Baliş k.	
Korite-i Küçük k., Bihor n., Bihor kz., Prizrin l.	Baliyavaç k.	
Evrenli k., Ağrıcan, Ferecik kz., Sağkol, Paşa l.	Balnohor k.	
İrhi İstiratik k., Zihne kz., Solkol, Paşa l.	Balohor k.	
Yenice Batos k., Siroz kz., Solkol, Paşa l.	Balyo Lotros k.	
Doyran k., Lofça kz., Niğbolu l.	Bamir k.	
Büyük Banaralı k., Tekfurdağı n., Tekfurdağı kz., Çirmen l., Müselleman-ı Çirmen	Banaralı-yı Büzürk k.	
Küçük Banaralı k., Müsel-leman-ı Çirmen	Banaralı-yı Küçük k.	
Saltuk çf., Boçaç, Neretva kz., Bosna l.	Banavinişte mz.	
Hoca Şemsüddin zv., Ust-rumca nf., Ustrumca n., Köstendil l.	Baniçeli Ahmed zv.	
Ilıca k., Ustrumca n., Ustrumca kz., Köstendil l.	Baniska k.	
Elvanoğlu k., Silistre kz., Silistre l.	Baraklar k.	
Azizli k., Dimetoka n., Dimetoka kz., Sağkol, Paşa l.	Baraklı k.	
Bezci k., Çatalca n., Çatalca kz., Tırhala l.	Baraklı k.	
Çerkoviçe k., Dömeke n., Çatalca kz., Tırhala l.	Baraklı k.	
Baratik k., Belgrad n., Belgrad kz., Semendire l.	Baray k.	
Barayeva k., Jelejnik n., Semendire kz., Semendire l.	Baray k.	
Bırlat k., İskenderiye n., İskenderiye kz., İskenderiye l.	Bardani k.	
Eflah k., Yenice-i Vardar kz., Solkol, Paşa l.	Bardişom k.	
Polindol k., Radovine n., Hasha-i Arnavud kz., Prizrin l.	Bardofça k.	
Cafer veled-i Milat çf., Saray n., Saray kz., Bosna l.	Bare mz.	
Hasan bin Hamza çf., Zagradya k., Uskupye n., Neretva kz., Bosna l.	Bare zm.	
Abrı k., Sofya kz., Paşa l.	Baribeyli k.	
Hrastçodol k., Uskupye n., Neretva kz., Bosna l.	Bariçe k.	
Nergishatun binti Abdullah çeşmesi, Gelibolu nf., Gelibolu kz., Gelibolu l.	Başçeşme	
İsaca k., Prevadi kz., Silistre l.	Başkesen k.	
Mesudviranı k., Varna kz., Silistre l.	Başköy k.	
Zeroyna k., Voynugan-ı Istabl-ı Amire	Başköy k.	
Üçpınar k., Silistre kz., Silistre l.	Başpınar k.	
İnehan çf., İsmoluk n., Srebreniçe kz., İzvornik l.	Baştine-i Goşavukla çf.	
Knez Marko çf., Koranita k., Kuzay n., Srebreniçe kz., İzvornik l.	Baştine-i Vihrin çf.	
Bazarlıbey k., Mıgalkara kz., Gelibolu l.	Batacık k.	
Safahalife k., Varna kz., Silistre l.	Bataklar k.	
Tatarlı k., Niğbolu kz., Niğbolu l.	Batlan k.	
İstanimir m., İvraca nf., İvrace kz., Niğbolu l.	Batol m.	
İvlaholor k., Tırhala n., Tırhala kz., Tırhala l.	Baya k.	
Becerdler k., Kesriçe n., Yeni-şehir kz., Tırhala l.	Bayezidobası k.	
Doğancı Melikşah k., Müselleman-ı Çirmen	Bayhoca k.	
Hamzafakih k., Çatalca n., Çatalca kz., Tırhala l.	Bayrambeyi k.	
Mescid-i Hayrüddin m., Yenibazar nf., Yenibazar n., Yenibazar kz., Bosna l.	Bayramlı m.	
Kalaycı k., Kızılağaç kz., Sağkol, Paşa l.	Bayramlışeyh k.	
Kızılcık mz., Rusikasrı kz., Silistre l.	Bayramşah mz.	
Taşlucabazarı nf., Kukan n., Prepolye kz., Hersek l.	Bazar-ı Taşluca nf.	
Jirnoniçe k., Biyoska n., Saray kz., Bosna l.	Bazarik k.	
Kutluca k., Dimetoka n., Dimetoka kz., Sağkol, Paşa l.	Bazarlıbey k.	
İlbizgölü k., Silistre kz., Silistre l.	Bazarlıoğulları k.	
Hacı Ömer m., Filibe nf., Filibe kz., Sağkol, Paşa l. 116	Bazaroğlu m.	
Yanaşova k., Florina kz., Solkol, Paşa l.	Beçka k.	
Negofça k., Praşova n., İvranya kz., Köstendil l.	Begofça k.	
Şikovik k., Maglay n., Brod kz., Bosna l.	Bejijne k.	
Akçakilise k., Lofça kz., Niğbolu l.	Belaçirkova k.	
Koniçe mn., Bolvan n., Petros kz., Alacahisar l.	Belagoviştine mn.	
Tarahinçe k., İştib n., İştib kz., Köstendil l.	Belaguyeva k.	
Boniçe k., Şehirköy kz., Paşa l.	Belan k.	
Nevagrad k., Dubniçe n., Ilıca kz., Köstendil l.	Belane k.	
Belonin k., Ürgüb n., Ürgüb kz., Ala-cahisar l.	Belanin k.	
Belakamen k., Plevne n., Niğ-bolu kz., Niğbolu l.	Belazi Timitir k.	
Komarofça k., Lofça kz., Niğbolu l.	Beleçirkova k.	
Ramazanbeyi k., Yenice-i Karasu kz., Solkol, Paşa l.	Belereka k.	
Dalamuç kl., Neretva kz., Bosna l.	Belgrad kl.	
Dalamuç n., Neretva kz., Bosna l.	Belgrad n.	
Dalamuç y., Neretva kz., Bosna l.	Belgrad y.	
Belgrad kl., Belgrad kz., Semendire l.	Belgrad-ı Üngürüs kl.	
Belopotok k., Belgrad n., Belgrad kz., Semendire l.	Belipotok k.	
Sredne Ravna k., Kurşunlukilise n., Ürgüb kz., Alacahisar l.	Beloçinçe k.	
Dolna Bare mz., Koznik n., Alacahisar kz., Alacahisar l.	Belopolye mz.	
Gorna Bare mz., Koznik n., Ala-cahisar kz., Alacahisar l.	Belopolye mz.	
Polaniçe k., Olofça n., Vişegrad kz., Bosna l.	Belosalik k.	
Polaniçe k., Saray n., Saray kz., Bosna l.	Belosalik k.	
Kokniçe k., Selanik kz., Solkol, Paşa l.	Belova k.	
Çir k., Berkofça kz., Paşa l.	Beloviçe k.	
Beloşiçe k., Menlik n., Timurhisar kz., Solkol, Paşa l.	Belovişte k.	
Kokla k., Krevukor n., Karitena kz., Mora l.	Beluşa k.	
Arnavud-ı Küçük k., Edirne n., Edirne kz., Sağkol, Paşa l.	Benefşelik k.	
Yaroslafça k., Voynugan-ı Istabl-ı Amire	Benkofça k.	
Yusuf bin Musa k., Dubniçe n., Köstendil l.	Beratobası k.	
Buykofça k., Nogoriçe n., İştib kz., Köstendil l.	Berinofça k.	
Lupetine k., Luçiçe n., Braniçeva kz., Semendire l.	Beryan k.	
Paysak mz., Alacahisar n., Alacahisar kz., Alacahisar l.	Besarilofça mz.	
Ömer k., Lofça kz., Niğbolu l.	Besiniç k.	
Jirnoniçe k., Olofça n., Vişegrad kz., Bosna l.	Bestişbazar k.	
Hacı Hızır k., Hırsova kz., Silistre l.	Beşdepe k.	
Hacı Halil m., Mıgalkara nf., Mıgalkara kz., Gelibolu l.	Beşirfakih m.	
Mogilani k., Zağra-i Eskihisar kz., Sağkol, Paşa l.	Beşkavak k.	
Süle k., Çernovi kz., Niğbolu l.	Beşpınar k.	
Kastanya Palihorya k., Londar, Kari-tena kz., Mora l.	Betolka k.	
İsliçik k., Osad n., Uziçe kz., Semendire l.	Betovaç k.	
Ayşehatun m., Edirne nf., Edirne kz., Sağkol, Paşa l.	Bevvab Sinanbey m.	
Naib Hamza m., Tatarbazarı nf., Tatar-bazarı kz., Sağkol, Paşa l.	Bey m.	
Davudbey k., Yörükan-ı Kocacık	Bey Davud k.	
Kölemenyurdu k., Hırsova kz., Silistre l.	Bey Davud k.	
Sazludere k., Silistre kz., Silistre l.	Beykonağı k.	
Sazludere mz., Silistre kz., Silistre l.	Beykonağı mz.	
Deniz k., Edirne n., Edirne kz., Sağkol, Paşa l.	Beyköyü k.	
Emreoğlu k., Karinovası kz., Silistre l.	Beyköyü k.	
Kara İbrahim k., Prevadi kz., Silistre l. 126	Beyli k.	
Yavaş k., Gümülcine kz., Solkol, Paşa l.	Beyli k.	
Sinanfakih k., Filibe kz., Sağkol, Paşa l.	Beyli-yi Küçük k.	
Polad k., Yenice-i Karasu kz., Solkol, Paşa l.	Beyobası k.	
